"transaction_id","transactiondate","transaction_datetime","amount_gbp","fee_charged_gbp","transaction_status","is_flagged_fraud","device_type","fx_rate_used","failed_reason","transaction_type_id","type_name","channel","is_domestic","typical_fee_gbp","merchant_category_id","category_name","sector","risk_flag","customer_id","customer_name","age_band","region","customer_segment","kyc_verified","account_open_date","weekday","weekno","accage","amtbucket","accage_bucket","fx_rate_check","fee_charge_check"
16,"2026-01-21","1/21/2026 10:48","9.69","0.00","Reversed",False,"Web",NULL,NULL,1,"Purchase","Mobile App",True,"0.00",16,"Subscription Services","Services","Low",16,"Noah Greenwood","35-44","North West","Standard",True,"2021-10-18","Wednesday","Week 3","4.64","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
17,"2026-02-22","2/22/2026 7:56","50.00","0.00","Declined",False,"iOS",NULL,"Insufficient Funds",2,"Purchase","Web Browser",True,"0.00",17,"Charity & Donations","Services","Low",17,"Aisha Kamara","18-24","Scotland","Starter",False,"2024-04-01","Sunday   ","Week 4","2.18","Below 5000","New Customer (<3 Years)","Not Applicable","Followed Standard"
18,"2026-03-11","3/11/2026 16:11","1287.88","0.00","Declined",False,NULL,NULL,NULL,3,"Transfer - Outbound","Mobile App",True,"0.00",18,"Education","Services","Low",18,"Benjamin Fox","45-54","South East","Business",True,"2020-02-28","Wednesday","Week 2","6.27","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
19,"2026-02-08","2/8/2026 17:06","317.12","1.06","Pending",True,"Android",NULL,NULL,4,"Transfer - Outbound","Web Browser",True,"0.00",1,"Groceries","Retail","Low",19,"Charlotte Lewis","25-34","Midlands","Standard",True,"2022-11-16","Sunday   ","Week 2","3.56","Below 5000","Established Customer (3-7 Years)","Not Applicable","Above Typical"
20,"2026-04-17","4/17/2026 6:05","16363.64","1.64","Reversed",True,"Web",NULL,"Fraud Suspected",5,"Transfer - International","Mobile App",False,"2.50",2,"Dining & Restaurants","Leisure","Low",20,"Rajan Mehta","35-44","London","Premium",True,"2019-09-09","Friday   ","Week 3","6.75","Above 15000","Established Customer (3-7 Years)","FX Rate Not Applied","Below Typical"
21,"2026-01-02","1/2/2026 4:42","36.44","0.00","Completed",False,"iOS",NULL,NULL,6,"Transfer - International","Web Browser",False,"2.50",3,"Travel & Transport","Services","Medium",1,"Amelia Rhodes","25-34","London","Premium",True,"2021-06-10","Friday   ","Week 1","4.99","Below 5000","Established Customer (3-7 Years)","FX Rate Not Applied","Below Typical"
22,"2026-01-15","1/15/2026 14:45","3684.85","0.00","Declined",False,NULL,NULL,NULL,7,"ATM Withdrawal","ATM Network",True,"0.00",4,"Entertainment","Leisure","Low",2,"James Whitfield","35-44","South East","Standard",True,"2020-11-23","Thursday ","Week 3","5.54","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
23,"2026-04-24","4/24/2026 5:57","161.20","2.12","Pending",False,"Android","1.0100",NULL,8,"ATM Withdrawal","ATM Network",False,"1.50",5,"Utilities","Services","Low",3,"Sofia Patel","18-24","Midlands","Starter",False,"2023-01-08","Friday   ","Week 4","3.41","Below 5000","Established Customer (3-7 Years)","FX Rate Applied","Above Typical"
24,"2026-03-07","3/7/2026 13:33","74.70","0.00","Reversed",False,"Web",NULL,NULL,9,"Direct Debit","Automated",True,"0.00",6,"Online Retail","Retail","Medium",4,"Oliver Bennett","45-54","North West","Business",True,"2019-07-14","Saturday ","Week 1","6.9","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
25,"2026-04-23","4/23/2026 5:19","21.59","0.00","Declined",False,"iOS",NULL,"Insufficient Funds",10,"Standing Order","Automated",True,"0.00",7,"Health & Pharmacy","Retail","Low",5,"Chloe Macgregor","25-34","Scotland","Standard",True,"2022-09-30","Thursday ","Week 4","3.68","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
26,"2026-04-18","4/18/2026 16:54","422.73","0.94","Declined",True,NULL,NULL,NULL,11,"Salary Credit","Automated",True,"0.00",8,"Gambling","Leisure","High",6,"Daniel Okafor","35-44","London","Premium",True,"2021-03-17","Saturday ","Week 3","5.22","Below 5000","Established Customer (3-7 Years)","Not Applicable","Above Typical"
27,"2026-03-08","3/8/2026 11:17","14.54","0.00","Pending",False,"Android",NULL,NULL,12,"Card Refund","Mobile App",True,"0.00",9,"Crypto Exchange","Financial","High",7,"Priya Sharma","18-24","South West","Starter",False,"2023-06-22","Sunday   ","Week 2","2.96","Below 5000","New Customer (<3 Years)","Not Applicable","Followed Standard"
28,"2026-05-04","5/4/2026 4:14","60.00","0.00","Reversed",False,"Web",NULL,NULL,13,"Crypto Purchase","Mobile App",True,"1.00",10,"Fuel","Retail","Low",8,"Thomas Hughes","55-64","Wales","Standard",True,"2020-04-05","Monday   ","Week 1","6.17","Below 5000","Established Customer (3-7 Years)","Not Applicable","Below Typical"
29,"2026-03-12","3/12/2026 18:16","515.15","0.00","Completed",False,"iOS",NULL,NULL,14,"Savings Pot Transfer","Mobile App",True,"0.00",11,"Clothing & Fashion","Retail","Low",9,"Isabelle Fontaine","25-34","North East","Premium",True,"2022-01-19","Thursday ","Week 2","4.38","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
30,"2026-05-18","5/18/2026 22:50","79.55","1.59","Declined",True,NULL,NULL,NULL,15,"Loan Repayment","Automated",True,"0.00",12,"Electronics","Retail","Medium",10,"Mohammed Al-Hassan","45-54","London","Business",True,"2018-12-01","Monday   ","Week 3","7.52","Below 5000","Long-Term Customer (7+ Years)","Not Applicable","Above Typical"
62,"2026-02-27","2/27/2026 20:18","3296.97","0.00","Declined",False,NULL,NULL,NULL,2,"Purchase","Web Browser",True,"0.00",8,"Gambling","Leisure","High",2,"James Whitfield","35-44","South East","Standard",True,"2020-11-23","Friday   ","Week 4","5.54","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
31,"2026-02-24","2/24/2026 15:28","61.42","0.00","Pending",False,"Android",NULL,NULL,1,"Purchase","Mobile App",True,"0.00",13,"Salary / Income","Financial","Low",11,"Grace Elliott","35-44","East of England","Standard",True,"2021-08-27","Tuesday  ","Week 4","4.78","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
33,"2026-05-27","5/27/2026 9:30","138.18","0.00","Completed",False,"iOS",NULL,NULL,3,"Transfer - Outbound","Mobile App",True,"0.00",15,"Peer-to-Peer Transfer","Financial","Medium",13,"Fatima Noor","18-24","Midlands","Starter",False,"2024-02-14","Wednesday","Week 4","2.31","Below 5000","New Customer (<3 Years)","Not Applicable","Followed Standard"
34,"2026-02-07","2/7/2026 21:55","721.21","2.12","Declined",False,NULL,"1.0800","Card Limit Exceeded",4,"Transfer - Outbound","Web Browser",True,"0.00",16,"Subscription Services","Services","Low",14,"Samuel Whitmore","55-64","Yorkshire","Business",True,"2017-05-30","Saturday ","Week 1","9.02","Below 5000","Long-Term Customer (7+ Years)","Not Applicable","Above Typical"
35,"2026-01-01","1/1/2026 23:30","29.88","0.00","Pending",False,"Android",NULL,NULL,5,"Transfer - International","Mobile App",False,"2.50",17,"Charity & Donations","Services","Low",15,"Layla Singh","25-34","London","Premium",True,"2022-07-04","Thursday ","Week 1","3.93","Below 5000","Established Customer (3-7 Years)","FX Rate Not Applied","Below Typical"
36,"2026-03-01","3/1/2026 13:53","9.08","0.00","Reversed",False,"Web",NULL,NULL,6,"Transfer - International","Web Browser",False,"2.50",18,"Education","Services","Low",16,"Noah Greenwood","35-44","North West","Standard",True,"2021-10-18","Sunday   ","Week 1","4.64","Below 5000","Established Customer (3-7 Years)","FX Rate Not Applied","Below Typical"
37,"2026-01-23","1/23/2026 14:52","46.97","0.00","Declined",False,"iOS",NULL,"Insufficient Funds",7,"ATM Withdrawal","ATM Network",True,"0.00",1,"Groceries","Retail","Low",17,"Aisha Kamara","18-24","Scotland","Starter",False,"2024-04-01","Friday   ","Week 4","2.18","Below 5000","New Customer (<3 Years)","Not Applicable","Followed Standard"
38,"2026-05-06","5/6/2026 1:19","1212.12","0.00","Declined",False,NULL,NULL,NULL,8,"ATM Withdrawal","ATM Network",False,"1.50",2,"Dining & Restaurants","Leisure","Low",18,"Benjamin Fox","45-54","South East","Business",True,"2020-02-28","Wednesday","Week 1","6.27","Below 5000","Established Customer (3-7 Years)","FX Rate Not Applied","Below Typical"
39,"2026-05-18","5/18/2026 7:21","299.00","1.00","Pending",True,"Android",NULL,NULL,9,"Direct Debit","Automated",True,"0.00",3,"Travel & Transport","Services","Medium",19,"Charlotte Lewis","25-34","Midlands","Standard",True,"2022-11-16","Monday   ","Week 3","3.56","Below 5000","Established Customer (3-7 Years)","Not Applicable","Above Typical"
40,"2026-05-08","5/8/2026 19:06","15454.55","1.55","Reversed",True,"Web",NULL,"Fraud Suspected",10,"Standing Order","Automated",True,"0.00",4,"Entertainment","Leisure","Low",20,"Rajan Mehta","35-44","London","Premium",True,"2019-09-09","Friday   ","Week 2","6.75","Above 15000","Established Customer (3-7 Years)","Not Applicable","Above Typical"
41,"2026-04-06","4/6/2026 9:38","34.47","0.00","Completed",False,"iOS",NULL,NULL,11,"Salary Credit","Automated",True,"0.00",5,"Utilities","Services","Low",1,"Amelia Rhodes","25-34","London","Premium",True,"2021-06-10","Monday   ","Week 1","4.99","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
42,"2026-01-29","1/29/2026 2:33","3490.91","0.00","Declined",False,NULL,NULL,NULL,12,"Card Refund","Mobile App",True,"0.00",6,"Online Retail","Retail","Medium",2,"James Whitfield","35-44","South East","Standard",True,"2020-11-23","Thursday ","Week 5","5.54","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
43,"2026-04-14","4/14/2026 4:53","213.02","2.80","Pending",False,"Android","1.3300",NULL,13,"Crypto Purchase","Mobile App",True,"1.00",7,"Health & Pharmacy","Retail","Low",3,"Sofia Patel","18-24","Midlands","Starter",False,"2023-01-08","Tuesday  ","Week 2","3.41","Below 5000","Established Customer (3-7 Years)","Not Applicable","Above Typical"
44,"2026-01-31","1/31/2026 19:44","97.88","0.00","Reversed",False,"Web",NULL,NULL,14,"Savings Pot Transfer","Mobile App",True,"0.00",8,"Gambling","Leisure","High",4,"Oliver Bennett","45-54","North West","Business",True,"2019-07-14","Saturday ","Week 5","6.9","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
45,"2026-05-08","5/8/2026 0:40","20.15","0.00","Declined",False,"iOS",NULL,"Insufficient Funds",15,"Loan Repayment","Automated",True,"0.00",9,"Crypto Exchange","Financial","High",5,"Chloe Macgregor","25-34","Scotland","Standard",True,"2022-09-30","Friday   ","Week 2","3.68","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
46,"2026-03-05","3/5/2026 15:42","395.45","0.88","Declined",True,NULL,NULL,NULL,1,"Purchase","Mobile App",True,"0.00",10,"Fuel","Retail","Low",6,"Daniel Okafor","35-44","London","Premium",True,"2021-03-17","Thursday ","Week 1","5.22","Below 5000","Established Customer (3-7 Years)","Not Applicable","Above Typical"
47,"2026-05-07","5/7/2026 20:10","13.63","0.00","Pending",False,"Android",NULL,NULL,2,"Purchase","Web Browser",True,"0.00",11,"Clothing & Fashion","Retail","Low",7,"Priya Sharma","18-24","South West","Starter",False,"2023-06-22","Thursday ","Week 1","2.96","Below 5000","New Customer (<3 Years)","Not Applicable","Followed Standard"
48,"2026-03-18","3/18/2026 20:41","56.36","0.00","Reversed",False,"Web",NULL,NULL,3,"Transfer - Outbound","Mobile App",True,"0.00",12,"Electronics","Retail","Medium",8,"Thomas Hughes","55-64","Wales","Standard",True,"2020-04-05","Wednesday","Week 3","6.17","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
49,"2026-02-09","2/9/2026 13:04","484.85","0.00","Completed",False,"iOS",NULL,NULL,4,"Transfer - Outbound","Web Browser",True,"0.00",13,"Salary / Income","Financial","Low",9,"Isabelle Fontaine","25-34","North East","Premium",True,"2022-01-19","Monday   ","Week 2","4.38","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
50,"2026-02-09","2/9/2026 4:27","75.00","1.50","Declined",True,NULL,NULL,NULL,5,"Transfer - International","Mobile App",False,"2.50",14,"Loan & Credit","Financial","Medium",10,"Mohammed Al-Hassan","45-54","London","Business",True,"2018-12-01","Monday   ","Week 2","7.52","Below 5000","Long-Term Customer (7+ Years)","FX Rate Not Applied","Below Typical"
51,"2026-02-09","2/9/2026 4:22","58.01","0.00","Pending",False,"Android",NULL,NULL,6,"Transfer - International","Web Browser",False,"2.50",15,"Peer-to-Peer Transfer","Financial","Medium",11,"Grace Elliott","35-44","East of England","Standard",True,"2021-08-27","Monday   ","Week 2","4.78","Below 5000","Established Customer (3-7 Years)","FX Rate Not Applied","Below Typical"
52,"2026-05-10","5/10/2026 10:42","3181.81","0.00","Reversed",False,"Web",NULL,NULL,7,"ATM Withdrawal","ATM Network",True,"0.00",16,"Subscription Services","Services","Low",12,"Ethan Clarke","25-34","South East","Starter",True,"2023-03-11","Sunday   ","Week 2","3.24","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
53,"2026-01-17","1/17/2026 23:08","130.91","0.00","Completed",False,"iOS",NULL,NULL,8,"ATM Withdrawal","ATM Network",False,"1.50",17,"Charity & Donations","Services","Low",13,"Fatima Noor","18-24","Midlands","Starter",False,"2024-02-14","Saturday ","Week 3","2.31","Below 5000","New Customer (<3 Years)","FX Rate Not Applied","Below Typical"
54,"2026-01-01","1/1/2026 18:55","953.03","2.80","Declined",False,NULL,"1.4200","Card Limit Exceeded",9,"Direct Debit","Automated",True,"0.00",18,"Education","Services","Low",14,"Samuel Whitmore","55-64","Yorkshire","Business",True,"2017-05-30","Thursday ","Week 1","9.02","Below 5000","Long-Term Customer (7+ Years)","Not Applicable","Above Typical"
55,"2026-01-22","1/22/2026 3:07","39.15","0.00","Pending",False,"Android",NULL,NULL,10,"Standing Order","Automated",True,"0.00",1,"Groceries","Retail","Low",15,"Layla Singh","25-34","London","Premium",True,"2022-07-04","Thursday ","Week 4","3.93","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
1475,"2026-02-08","2/8/2026 5:37","28.85","0.00","Pending",False,"Android",NULL,NULL,5,"Transfer - International","Mobile App",False,"2.50",17,"Charity & Donations","Services","Low",15,"Layla Singh","25-34","London","Premium",True,"2022-07-04","Sunday   ","Week 2","3.93","Below 5000","Established Customer (3-7 Years)","FX Rate Not Applied","Below Typical"
56,"2026-02-01","2/1/2026 18:41","8.48","0.00","Reversed",False,"Web",NULL,NULL,11,"Salary Credit","Automated",True,"0.00",2,"Dining & Restaurants","Leisure","Low",16,"Noah Greenwood","35-44","North West","Standard",True,"2021-10-18","Sunday   ","Week 1","4.64","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
57,"2026-05-17","5/17/2026 9:58","43.94","0.00","Declined",False,"iOS",NULL,"Insufficient Funds",12,"Card Refund","Mobile App",True,"0.00",3,"Travel & Transport","Services","Medium",17,"Aisha Kamara","18-24","Scotland","Starter",False,"2024-04-01","Sunday   ","Week 3","2.18","Below 5000","New Customer (<3 Years)","Not Applicable","Followed Standard"
58,"2026-05-12","5/12/2026 20:32","1136.36","0.00","Declined",False,NULL,NULL,NULL,13,"Crypto Purchase","Mobile App",True,"1.00",4,"Entertainment","Leisure","Low",18,"Benjamin Fox","45-54","South East","Business",True,"2020-02-28","Tuesday  ","Week 2","6.27","Below 5000","Established Customer (3-7 Years)","Not Applicable","Below Typical"
59,"2026-02-16","2/16/2026 22:48","280.88","0.94","Pending",True,"Android",NULL,NULL,14,"Savings Pot Transfer","Mobile App",True,"0.00",5,"Utilities","Services","Low",19,"Charlotte Lewis","25-34","Midlands","Standard",True,"2022-11-16","Monday   ","Week 3","3.56","Below 5000","Established Customer (3-7 Years)","Not Applicable","Above Typical"
60,"2026-01-31","1/31/2026 21:39","14545.45","1.45","Reversed",True,"Web",NULL,"Fraud Suspected",15,"Loan Repayment","Automated",True,"0.00",6,"Online Retail","Retail","Medium",20,"Rajan Mehta","35-44","London","Premium",True,"2019-09-09","Saturday ","Week 5","6.75","10000 - 15000","Established Customer (3-7 Years)","Not Applicable","Above Typical"
61,"2026-05-29","5/29/2026 14:30","32.50","0.00","Completed",False,"iOS",NULL,NULL,1,"Purchase","Mobile App",True,"0.00",7,"Health & Pharmacy","Retail","Low",1,"Amelia Rhodes","25-34","London","Premium",True,"2021-06-10","Friday   ","Week 5","4.99","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
63,"2026-03-16","3/16/2026 1:13","201.50","2.65","Pending",False,"Android","1.2600",NULL,3,"Transfer - Outbound","Mobile App",True,"0.00",9,"Crypto Exchange","Financial","High",3,"Sofia Patel","18-24","Midlands","Starter",False,"2023-01-08","Monday   ","Week 3","3.41","Below 5000","Established Customer (3-7 Years)","Not Applicable","Above Typical"
64,"2026-01-22","1/22/2026 15:42","92.73","0.00","Reversed",False,"Web",NULL,NULL,4,"Transfer - Outbound","Web Browser",True,"0.00",10,"Fuel","Retail","Low",4,"Oliver Bennett","45-54","North West","Business",True,"2019-07-14","Thursday ","Week 4","6.9","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
65,"2026-02-18","2/18/2026 2:14","26.63","0.00","Declined",False,"iOS",NULL,"Insufficient Funds",5,"Transfer - International","Mobile App",False,"2.50",11,"Clothing & Fashion","Retail","Low",5,"Chloe Macgregor","25-34","Scotland","Standard",True,"2022-09-30","Wednesday","Week 3","3.68","Below 5000","Established Customer (3-7 Years)","FX Rate Not Applied","Below Typical"
66,"2026-05-07","5/7/2026 16:34","518.18","1.15","Declined",True,NULL,NULL,NULL,6,"Transfer - International","Web Browser",False,"2.50",12,"Electronics","Retail","Medium",6,"Daniel Okafor","35-44","London","Premium",True,"2021-03-17","Thursday ","Week 1","5.22","Below 5000","Established Customer (3-7 Years)","FX Rate Not Applied","Below Typical"
67,"2026-04-28","4/28/2026 14:47","12.72","0.00","Pending",False,"Android",NULL,NULL,7,"ATM Withdrawal","ATM Network",True,"0.00",13,"Salary / Income","Financial","Low",7,"Priya Sharma","18-24","South West","Starter",False,"2023-06-22","Tuesday  ","Week 4","2.96","Below 5000","New Customer (<3 Years)","Not Applicable","Followed Standard"
68,"2026-03-14","3/14/2026 8:04","52.73","0.00","Reversed",False,"Web",NULL,NULL,8,"ATM Withdrawal","ATM Network",False,"1.50",14,"Loan & Credit","Financial","Medium",8,"Thomas Hughes","55-64","Wales","Standard",True,"2020-04-05","Saturday ","Week 2","6.17","Below 5000","Established Customer (3-7 Years)","FX Rate Not Applied","Below Typical"
69,"2026-01-27","1/27/2026 16:23","454.55","0.00","Completed",False,"iOS",NULL,NULL,9,"Direct Debit","Automated",True,"0.00",15,"Peer-to-Peer Transfer","Financial","Medium",9,"Isabelle Fontaine","25-34","North East","Premium",True,"2022-01-19","Tuesday  ","Week 4","4.38","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
70,"2026-02-15","2/15/2026 6:09","70.45","1.41","Declined",True,NULL,NULL,NULL,10,"Standing Order","Automated",True,"0.00",16,"Subscription Services","Services","Low",10,"Mohammed Al-Hassan","45-54","London","Business",True,"2018-12-01","Sunday   ","Week 3","7.52","Below 5000","Long-Term Customer (7+ Years)","Not Applicable","Above Typical"
71,"2026-03-06","3/6/2026 7:53","54.59","0.00","Pending",False,"Android",NULL,NULL,11,"Salary Credit","Automated",True,"0.00",17,"Charity & Donations","Services","Low",11,"Grace Elliott","35-44","East of England","Standard",True,"2021-08-27","Friday   ","Week 1","4.78","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
72,"2026-03-04","3/4/2026 16:05","2999.99","0.00","Reversed",False,"Web",NULL,NULL,12,"Card Refund","Mobile App",True,"0.00",18,"Education","Services","Low",12,"Ethan Clarke","25-34","South East","Starter",True,"2023-03-11","Wednesday","Week 1","3.24","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
73,"2026-01-04","1/4/2026 3:30","123.64","0.00","Completed",False,"iOS",NULL,NULL,13,"Crypto Purchase","Mobile App",True,"1.00",1,"Groceries","Retail","Low",13,"Fatima Noor","18-24","Midlands","Starter",False,"2024-02-14","Sunday   ","Week 1","2.31","Below 5000","New Customer (<3 Years)","Not Applicable","Below Typical"
74,"2026-02-11","2/11/2026 11:45","901.52","2.65","Declined",False,NULL,"1.3500","Card Limit Exceeded",14,"Savings Pot Transfer","Mobile App",True,"0.00",2,"Dining & Restaurants","Leisure","Low",14,"Samuel Whitmore","55-64","Yorkshire","Business",True,"2017-05-30","Wednesday","Week 2","9.02","Below 5000","Long-Term Customer (7+ Years)","Not Applicable","Above Typical"
75,"2026-05-02","5/2/2026 8:15","37.09","0.00","Pending",False,"Android",NULL,NULL,15,"Loan Repayment","Automated",True,"0.00",3,"Travel & Transport","Services","Medium",15,"Layla Singh","25-34","London","Premium",True,"2022-07-04","Saturday ","Week 1","3.93","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
76,"2026-03-26","3/26/2026 6:36","11.20","0.00","Reversed",False,"Web",NULL,NULL,1,"Purchase","Mobile App",True,"0.00",4,"Entertainment","Leisure","Low",16,"Noah Greenwood","35-44","North West","Standard",True,"2021-10-18","Thursday ","Week 4","4.64","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
77,"2026-01-27","1/27/2026 14:43","57.58","0.00","Declined",False,"iOS",NULL,"Insufficient Funds",2,"Purchase","Web Browser",True,"0.00",5,"Utilities","Services","Low",17,"Aisha Kamara","18-24","Scotland","Starter",False,"2024-04-01","Tuesday  ","Week 4","2.18","Below 5000","New Customer (<3 Years)","Not Applicable","Followed Standard"
78,"2026-04-10","4/10/2026 8:49","1060.61","0.00","Declined",False,NULL,NULL,NULL,3,"Transfer - Outbound","Mobile App",True,"0.00",6,"Online Retail","Retail","Medium",18,"Benjamin Fox","45-54","South East","Business",True,"2020-02-28","Friday   ","Week 2","6.27","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
79,"2026-01-31","1/31/2026 18:28","262.76","0.88","Pending",True,"Android",NULL,NULL,4,"Transfer - Outbound","Web Browser",True,"0.00",7,"Health & Pharmacy","Retail","Low",19,"Charlotte Lewis","25-34","Midlands","Standard",True,"2022-11-16","Saturday ","Week 5","3.56","Below 5000","Established Customer (3-7 Years)","Not Applicable","Above Typical"
692,"2026-04-16","4/16/2026 9:40","3363.63","0.00","Reversed",False,"Web",NULL,NULL,2,"Purchase","Web Browser",True,"0.00",8,"Gambling","Leisure","High",12,"Ethan Clarke","25-34","South East","Starter",True,"2023-03-11","Thursday ","Week 3","3.24","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
80,"2026-01-15","1/15/2026 17:15","13636.36","1.36","Reversed",True,"Web",NULL,"Fraud Suspected",5,"Transfer - International","Mobile App",False,"2.50",8,"Gambling","Leisure","High",20,"Rajan Mehta","35-44","London","Premium",True,"2019-09-09","Thursday ","Week 3","6.75","10000 - 15000","Established Customer (3-7 Years)","FX Rate Not Applied","Below Typical"
81,"2026-02-13","2/13/2026 15:01","30.53","0.00","Completed",False,"iOS",NULL,NULL,6,"Transfer - International","Web Browser",False,"2.50",9,"Crypto Exchange","Financial","High",1,"Amelia Rhodes","25-34","London","Premium",True,"2021-06-10","Friday   ","Week 2","4.99","Below 5000","Established Customer (3-7 Years)","FX Rate Not Applied","Below Typical"
82,"2026-01-13","1/13/2026 2:46","3103.03","0.00","Declined",False,NULL,NULL,NULL,7,"ATM Withdrawal","ATM Network",True,"0.00",10,"Fuel","Retail","Low",2,"James Whitfield","35-44","South East","Standard",True,"2020-11-23","Tuesday  ","Week 2","5.54","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
